,tweet_id,retweet_count,favorite_count
0,876484053909872640,2149,17547
1,886366144734445568,2861,19689
2,877611172832227328,73,0
3,888078434458587136,3137,20277
4,891689557279858688,7799,39218
5,879492040517615616,2893,21892
6,878604707211726852,6420,28095
7,879674319642796034,10,293
8,884876753390489601,5041,25903
9,882992080364220416,3518,22252
10,876120275196170240,4244,26144
11,889880896479866881,4502,25996
12,885518971528720385,3379,19074
13,879862464715927552,3164,20846
14,877556246731214848,3452,21177
15,890971913173991426,1835,10968
16,890006608113172480,6622,28569
17,873580283840344065,3595,22685
18,880935762899988482,2532,15940
19,891815181378084864,3741,23336
20,877201837425926144,5061,25301
21,886267009285017600,4,111
22,873337748698140672,1450,0
23,875747767867523072,3882,23503
24,889278841981685760,4820,23452
25,879415818425184262,40239,98603
26,882268110199369728,10471,41749
27,880465832366813184,5626,26524
28,887101392804085760,5398,28536
29,884162670584377345,2711,18998
30,879376492567855104,2836,15682
31,874057562936811520,3631,21258
32,875144289856114688,4462,20502
33,885528943205470208,5779,33464
34,878776093423087618,3710,18068
35,880872448815771648,3468,19828
36,885984800019947520,6075,30359
37,874434818259525634,13229,0
38,881633300179243008,7,116
39,883482846933004288,8933,42670
40,884562892145688576,4251,22637
41,889665388333682689,9027,44727
42,874680097055178752,4213,25999
43,887473957103951883,16273,64005
44,892177421306343426,5644,31016
45,884441805382717440,5148,25253
46,873213775632977920,1450,6703
47,890240255349198849,6637,29674
48,881268444196462592,4781,21651
49,891087950875897856,2815,18877
50,879130579576475649,6168,0
51,886680336477933568,4047,20937
52,878281511006478336,1164,7214
53,878404777348136964,1164,0
54,886054160059072513,100,0
55,888917238123831296,4058,27099
56,890729181411237888,17042,60545
57,881536004380872706,14465,46095
58,872967104147763200,4944,25525
59,887343217045368832,9473,31348
60,885311592912609280,16732,0
61,877316821321428993,4727,25578
62,885167619883638784,3949,20376
63,889638837579907072,4050,25171
64,876838120628539392,3031,19322
65,879050749262655488,4264,21010
66,892420643555336193,7635,35943
67,886983233522544640,6934,32507
68,876537666061221889,4269,22107
69,877736472329191424,17191,73890
70,874296783580663808,3750,24364
71,874012996292530176,9334,32053
72,888804989199671297,3828,23811
73,890609185150312448,3880,25975
74,887705289381826560,4878,28180
75,875097192612077568,5528,25634
76,875021211251597312,4291,23850
77,886258384151887873,5711,26060
78,878057613040115712,6168,39265
79,880095782870896641,3931,25740
80,887517139158093824,10649,43187
81,883117836046086144,6014,34583
82,884925521741709313,16342,71692
83,882045870035918850,4414,27312
84,883360690899218434,3348,21112
85,878316110768087041,6031,0
86,880221127280381952,3776,25115
87,883838122936631299,3102,20349
88,879008229531029506,2429,17724
89,882762694511734784,4419,26312
90,888554962724278272,3143,18372
91,882627270321602560,5496,26075
92,881666595344535552,9656,47199
93,884247878851493888,18369,67536
94,881906580714921986,3076,22676
95,886736880519319552,2905,11156
96,891327558926688256,8399,37447
97,889531135344209921,2039,14114
98,858860390427611136,7661,0
99,868639477480148993,1917,0
100,858471635011153920,4593,20607
101,870374049280663552,24364,78119
102,856330835276025856,637,0
103,855860136149123072,934,4737
104,864197398364647424,8241,28432
105,868880397819494401,13312,61664
106,867051520902168576,7304,30467
107,855851453814013952,17227,44163
108,872620804844003328,3332,19425
109,862457590147678208,4613,19454
110,866450705531457537,32660,115660
111,866094527597207552,7782,0
112,858843525470990336,3286,14929
113,860924035999428608,749,0
114,866720684873056260,4449,18923
115,863427515083354112,89,2093
116,863553081350529029,3913,14507
117,863907417377173506,3850,19542
118,854482394044301312,6578,28334
119,869227993411051520,3479,19241
120,859196978902773760,28410,85802
121,864279568663928832,2813,13826
122,869772420881756160,9332,40072
123,860184849394610176,5492,15919
124,854732716440526848,5810,22002
125,859074603037188101,12850,32342
126,864873206498414592,8091,30598
127,858107933456039936,2742,15100
128,862096992088072192,21653,70563
